time,steering_angle_deg,yaw_rate_deg
15.9399999999998,-1.5,-0.11627714
15.9599999999998,-1.5,0.233428545
15.9799999999998,-1.5,-0.186218278
15.9999999999998,-1.5,-0.256159415
16.0199999999998,-1.6,0.304243946
16.0399999999998,-1.6,-0.11627714
16.0599999999998,-1.6,0.444126221
16.0799999999998,-1.5,0.164361672
16.0999999999998,-1.5,0.024479398
16.1199999999998,-1.5,-0.046336003
16.1399999999998,-1.5,-0.396041689
16.1599999999998,-1.5,-0.11627714
16.1799999999998,-1.6,0.164361672
16.1999999999998,-1.6,-0.11627714
16.2199999999998,-1.6,-0.11627714
16.2399999999998,-1.7,-0.465982826
16.2599999999998,-1.7,0.374185083
16.2799999999998,-1.7,-0.256159415
16.2999999999998,-1.8,0.024479398
16.3199999999998,-1.8,-0.396041689
16.3399999999998,-1.9,-0.11627714
16.3599999999998,-1.9,0.233428545
16.3799999999998,-1.9,0.093546271
16.3999999999998,-1.9,0.304243946
16.4199999999998,-1.9,-0.046336003
16.4399999999998,-2.0,0.093546271
16.4599999999998,-2.0,0.024479398
16.4799999999998,-2.0,0.444126221
16.4999999999998,-2.1,0.024479398
16.5199999999998,-2.3,0.093546271
16.5399999999998,-2.4,-0.046336003
16.5599999999998,-2.4,0.093546271
16.5799999999998,-2.5,-0.186218278
16.5999999999998,-2.6,0.093546271
16.6199999999998,-2.8,-0.186218278
16.6399999999998,-2.9,0.233428545
16.6599999999998,-2.9,-0.046336003
16.6799999999998,-2.9,0.024479398
16.6999999999998,-2.9,0.374185083
16.7199999999998,-2.9,0.093546271
16.7399999999998,-2.9,0.233428545
16.7599999999998,-2.9,0.374185083
