time,yaw_rate_deg,steering_angle_deg
3.76,0.584008495,-5.2
3.78,0.93371418,-5.1
3.8,0.793831906,-5
3.82,0.93371418,-5
3.84,0.93371418,-5
3.86,1.003655317,-5
3.88,1.003655317,-5
3.9,1.073596454,-5
3.92,1.073596454,-5
3.94,0.93371418,-5.1
3.96,1.073596454,-5.1
3.98,1.003655317,-5.1
4,1.073596454,-5.1
4.02,0.863773043,-5.1
4.04,0.93371418,-5.1
4.06,1.143537592,-5.1
4.08,1.003655317,-5.1
4.1,0.863773043,-5.2
4.12,1.003655317,-5.2
4.14,1.073596454,-5.2
4.16,0.93371418,-5.2
4.18,1.073596454,-5.2
4.2,0.793831906,-5.3
4.22,1.073596454,-5.3
4.24,1.214352993,-5.3
4.26,0.374185083,-5.3
4.28,1.283419866,-5.4
4.3,0.723890769,-5.5
4.32,0.863773043,-5.6
4.34,1.073596454,-5.7
4.36,0.863773043,-5.7
4.38,1.073596454,-5.7
4.4,1.003655317,-5.7
4.42,0.93371418,-5.8
4.44,0.653949632,-5.8
4.46,1.143537592,-5.8
4.48,0.863773043,-5.8
4.5,1.073596454,-5.8
4.52,1.003655317,-5.8
4.54,1.214352993,-5.9
4.56,0.793831906,-5.9
4.58,1.283419866,-5.9
4.6,1.073596454,-5.8
4.62,0.793831906,-5.9
4.64,1.354235267,-5.8
4.66,1.003655317,-5.8
4.68,1.424176404,-5.8
4.7,0.723890769,-5.9
4.72,1.073596454,-5.9
4.74,0.723890769,-5.9
4.76,1.214352993,-5.9
4.78,0.793831906,-5.9
4.8,1.214352993,-5.9
4.82,0.93371418,-5.9
4.84,0.93371418,-5.9
4.86,0.863773043,-5.9
4.88,1.073596454,-5.9
4.9,0.863773043,-5.9
4.92,1.003655317,-5.9
4.94,1.143537592,-5.9
4.96,1.073596454,-6
4.98,0.93371418,-6
5,0.863773043,-6
5.02,0.863773043,-6
5.04,1.143537592,-6.1
5.06,1.003655317,-6.1
5.08,1.003655317,-6.1
5.1,1.214352993,-6.1
5.12,1.494117541,-6.1
5.14,1.143537592,-6.1
5.16,0.863773043,-6.1
5.18,1.283419866,-6.1
5.2,1.143537592,-6.1
5.22,1.494117541,-6.1
5.24,1.073596454,-6.1
5.26,1.494117541,-6.1
5.28,1.354235267,-6.1
5.3,1.424176404,-6.1
5.32,1.073596454,-6.1
5.34,1.424176404,-6.1
5.36,1.073596454,-6.1
5.38,1.073596454,-6.1
5.4,1.703940953,-6.1
5.42,1.214352993,-6.1
5.44,1.354235267,-6.1
5.46,1.143537592,-6.1
5.48,1.283419866,-6.1
5.5,1.214352993,-6.1
5.52,1.564058678,-6.1
5.54,1.143537592,-6.1
5.56,1.283419866,-6.1
5.58,1.143537592,-6.1
5.6,1.143537592,-6.1
5.62,1.354235267,-6.1
5.64,1.003655317,-6.1
5.66,1.424176404,-6.1
5.68,1.143537592,-6.1
5.7,1.283419866,-6.1
5.72,0.863773043,-6.1
5.74,1.283419866,-6.1
5.76,1.283419866,-6.1
5.78,1.283419866,-6.1
5.8,1.494117541,-6.1
5.82,1.073596454,-6.1
5.84,1.214352993,-6.1
5.86,1.003655317,-6.1
5.88,1.003655317,-6.1
5.9,1.494117541,-6.2
5.92,1.143537592,-6.1
5.94,1.283419866,-6.1
5.96,1.214352993,-6.2
5.98,1.283419866,-6.2
6,1.283419866,-6.2
6.02,1.214352993,-6.2
6.04,1.073596454,-6.2
6.06,1.283419866,-6.2
6.08,1.143537592,-6.1
6.1,1.143537592,-6.1
6.12,1.214352993,-6.2
6.14,1.003655317,-6.2
6.16,1.214352993,-6.2
6.18,0.793831906,-6.2
6.2,1.214352993,-6.2
6.22,0.863773043,-6.1
6.24,1.283419866,-6.1
6.26,1.283419866,-6.1
6.28,0.93371418,-6.2
6.3,1.003655317,-6.2
6.32,1.073596454,-6.2
6.34,1.073596454,-6.2
6.36,0.863773043,-6.2
6.38,0.723890769,-6.2
6.4,1.143537592,-6.2
6.42,1.003655317,-6.2
6.44,1.143537592,-6.2
6.46,1.003655317,-6.2
