time,yaw_rate_deg,steering_angle_deg
4.38,0.055079,-1.5
4.4,-0.01574,-1.5
4.42,-0.01574,-1.5
4.44,0.055079,-1.5
4.46,0.124146,-1.5
4.48,0.194961,-1.5
4.5,0.124146,-1.5
4.52,-0.01574,-1.5
4.54,-0.01574,-1.5
4.56,0.055079,-1.5
4.58,-0.01574,-1.5
4.6,-0.01574,-1.5
4.62,-0.01574,-1.5
4.64,-0.01574,-1.5
4.66,0.055079,-1.5
4.68,0.055079,-1.5
4.7,0.055079,-1.5
4.72,-0.01574,-1.5
4.74,0.055079,-1.5
4.76,-0.0848,-1.5
4.78,-0.01574,-1.5
4.8,-0.0848,-1.5
4.82,-0.0848,-1.5
4.84,-0.01574,-1.5
4.86,-0.01574,-1.5
4.88,-0.0848,-1.5
4.9,-0.01574,-1.5
4.92,0.055079,-1.5
4.94,0.055079,-1.5
4.96,-0.01574,-1.5
4.98,-0.01574,-1.5
5,-0.0848,-1.5
5.02,0.055079,-1.5
5.04,-0.01574,-1.5
5.06,-0.01574,-1.5
5.08,-0.0848,-1.5
5.1,0.055079,-1.5
5.12,-0.01574,-1.5
5.14,-0.01574,-1.5
5.16,-0.01574,-1.5
5.18,-0.0848,-1.5
5.2,-0.0848,-1.5
5.22,-0.01574,-1.5
5.24,-0.01574,-1.5
5.26,0.194961,-1.5
5.28,0.055079,-1.5
5.3,0.055079,-1.5
5.32,-0.0848,-1.5
5.34,0.055079,-1.5
5.36,0.124146,-1.5
5.38,0.055079,-1.5
5.4,-0.01574,-1.5
5.42,-0.0848,-1.5
5.44,-0.01574,-1.5
5.46,-0.01574,-1.5
5.48,-0.01574,-1.5
5.5,0.055079,-1.5
5.52,0.055079,-1.5
5.54,-0.01574,-1.5
5.56,-0.01574,-1.5
5.58,-0.0848,-1.5
5.6,0.055079,-1.5
5.62,0.055079,-1.5
5.64,-0.0848,-1.5
5.66,-0.0848,-1.5
5.68,-0.01574,-1.5
5.7,0.055079,-1.5
5.72,0.055079,-1.5
5.74,0.124146,-1.5
5.76,0.055079,-1.5
5.78,-0.01574,-1.5
5.8,0.055079,-1.5
5.82,0.124146,-1.5
5.84,-0.01574,-1.5
5.86,-0.01574,-1.5
5.88,-0.0848,-1.5
5.9,0.055079,-1.5
5.92,-0.01574,-1.5
5.94,-0.15562,-1.5
5.96,-0.01574,-1.5
5.98,0.055079,-1.5
6,-0.01574,-1.5
6.02,0.124146,-1.5
6.04,-0.01574,-1.5
6.06,-0.01574,-1.5
6.08,-0.01574,-1.5
6.1,0.194961,-1.5
6.12,0.124146,-1.5
6.14,0.055079,-1.5
6.16,-0.01574,-1.5
6.18,0.055079,-1.5
6.2,-0.01574,-1.5
6.22,0.055079,-1.5
6.24,0.055079,-1.5
6.26,-0.01574,-1.5
6.28,-0.01574,-1.5
6.3,-0.0848,-1.5
6.32,-0.0848,-1.5
6.34,-0.01574,-1.5
6.36,-0.0848,-1.5
6.38,-0.0848,-1.5
6.4,-0.0848,-1.5
6.42,-0.01574,-1.5
6.44,-0.15562,-1.5
6.46,-0.01574,-1.5
6.48,0.055079,-1.5
6.5,-0.01574,-1.5
6.52,-0.0848,-1.5
6.54,-0.0848,-1.5
6.56,-0.0848,-1.5
6.58,-0.01574,-1.5
6.6,0.055079,-1.5
6.62,-0.0848,-1.5
6.64,0.055079,-1.5
6.66,-0.0848,-1.5
6.68,-0.0848,-1.5
6.7,-0.0848,-1.5
6.72,-0.01574,-1.5
6.74,0.124146,-1.5
6.76,0.055079,-1.5
6.78,-0.01574,-1.5
6.8,-0.15562,-1.5
6.82,0.055079,-1.5
6.84,-0.0848,-1.5
6.86,-0.15562,-1.5
6.88,0.055079,-1.5
6.9,0.124146,-1.5
6.92,0.124146,-1.5
6.94,-0.0848,-1.5
6.96,-0.01574,-1.5
6.98,-0.01574,-1.5
7,-0.01574,-1.5
7.02,-0.0848,-1.5
7.04,-0.01574,-1.5
7.06,-0.01574,-1.5
7.08,0.055079,-1.5
7.1,0.124146,-1.5
7.12,0.055079,-1.5
7.14,-0.01574,-1.5
7.16,0.124146,-1.5
7.18,-0.0848,-1.5
7.2,-0.01574,-1.5
7.22,-0.0848,-1.5
7.24,-0.0848,-1.5
7.26,-0.01574,-1.5
7.28,0.055079,-1.5
7.3,-0.01574,-1.5
7.32,-0.01574,-1.5
7.34,0.055079,-1.5
7.36,0.055079,-1.5
7.38,-0.01574,-1.5
7.4,0.124146,-1.5
7.42,-0.01574,-1.5
7.44,0.055079,-1.5
7.46,0.124146,-1.5
7.48,0.124146,-1.5
7.5,-0.01574,-1.5
7.52,-0.01574,-1.5
7.54,-0.01574,-1.5
