time,yaw_rate_deg,steering_angle_deg
3.82,-2.000316521,4.4
3.84,-2.070257658,4.4
3.86,-2.14107306,4.4
3.88,-2.280955334,4.4
3.9,-2.420837608,4.4
3.92,-2.280955334,4.4
3.94,-2.14107306,4.4
3.96,-2.000316521,4.4
3.98,-2.070257658,4.4
4,-2.14107306,4.4
4.02,-2.489904481,4.4
4.04,-1.236209598,3
4.06,-1.306150735,3
4.08,-1.655856421,3
4.1,-1.306150735,3
4.12,-1.44603301,3
4.14,-1.655856421,3
4.16,-1.655856421,3
4.18,-1.236209598,3
4.2,-1.236209598,2.9
4.22,-1.515974147,2.9
4.24,-1.44603301,2.9
4.26,-1.655856421,2.7
4.28,-1.655856421,2.5
4.3,-1.795738695,2.4
4.32,-1.515974147,2.4
4.34,-1.165394197,2.4
4.36,-1.306150735,2.3
4.38,-1.376091872,2.3
4.4,-1.236209598,2.3
4.42,-1.236209598,2.3
4.44,-1.096327324,2.3
4.46,-1.306150735,2.3
4.48,-1.236209598,2.3
4.5,-1.236209598,2.3
4.52,-1.165394197,2.3
4.54,-1.165394197,2.3
4.56,-1.236209598,2.3
4.58,-1.376091872,2.3
4.6,-1.236209598,2.3
4.62,-1.025511923,2.3
4.64,-0.816562776,2.3
4.66,-0.885629649,2.3
4.68,-0.885629649,2.3
4.7,-1.165394197,2.3
4.72,-0.95644505,2.3
4.74,-0.816562776,2.3
4.76,-1.096327324,2.3
4.78,-0.95644505,2.3
4.8,-1.165394197,2.3
4.82,-1.025511923,2.3
4.84,-0.676680501,2.3
4.86,-1.025511923,2.3
4.88,-1.025511923,2.3
4.9,-1.165394197,2.3
4.92,-1.236209598,2.3
4.94,-0.95644505,2.3
4.96,-0.885629649,2.3
4.98,-1.165394197,2.3
5,-1.236209598,2.3
5.02,-1.165394197,2.3
5.04,-0.95644505,2.3
5.06,-1.165394197,2.3
5.08,-1.236209598,2.3
5.1,-0.6058651,2.3
5.12,-1.025511923,2.3
5.14,-1.165394197,2.3
5.16,-0.885629649,2.3
5.18,-1.165394197,2.3
5.2,-1.096327324,2.3
5.22,-1.025511923,2.3
5.24,-0.816562776,2.3
5.26,-0.816562776,2.3
5.28,-1.025511923,2.3
5.3,-1.096327324,2.3
5.32,-0.885629649,2.3
5.34,-1.025511923,2.3
5.36,-1.096327324,2.3
5.38,-1.096327324,2.3
5.4,-1.306150735,2.3
5.42,-0.95644505,2.3
5.44,-0.95644505,2.3
5.46,-1.096327324,2.3
5.48,-1.165394197,2.3
5.5,-1.236209598,2.3
5.52,-1.44603301,2.3
5.54,-1.236209598,2.3
5.56,-0.95644505,2.3
5.58,-1.236209598,2.3
5.6,-1.306150735,2.3
5.62,-1.306150735,2.3
5.64,-1.236209598,2.3
5.66,-1.025511923,2.3
5.68,-1.726671822,2.3
5.7,-0.95644505,2.3
5.72,-1.165394197,2.3
5.74,-1.306150735,2.3
5.76,-1.236209598,2.3
5.78,-1.236209598,2.3
5.8,-1.376091872,2.3
5.82,-1.165394197,2.3
5.84,-1.376091872,2.3
5.86,-0.95644505,2.3
5.88,-1.165394197,2.3
5.9,-1.306150735,2.3
5.92,-1.096327324,2.2
5.94,-1.236209598,2.1
5.96,-1.306150735,2.1
5.98,-1.306150735,2.1
6,-1.376091872,2.1
6.02,-0.816562776,2.1
6.04,-0.95644505,2.1
6.06,-1.096327324,2.1
6.08,-0.95644505,2.1
6.1,-0.95644505,2.1
6.12,-0.11627714,1
6.14,-0.186218278,1
6.16,-0.186218278,0.9
6.18,-0.11627714,0.9
6.2,-0.186218278,0.9
6.22,-0.11627714,0.9
6.24,-0.326100552,0.9
6.26,-0.186218278,0.9
6.28,-0.186218278,0.9
6.3,-0.11627714,0.9
6.32,-0.256159415,0.9
6.34,-0.256159415,0.9
6.36,-0.11627714,0.9
6.38,0.024479398,0.9
6.4,-0.186218278,0.9
6.42,0.374185083,0.9
6.44,-0.046336003,0.9
6.46,0.024479398,0.9
6.48,-0.046336003,0.9
6.5,-0.046336003,0.9
6.52,0.024479398,0.9
6.54,-0.046336003,0.9
6.56,0.164361672,0.9
6.58,0.093546271,0.9
6.6,0.024479398,0.9
6.62,0.024479398,0.9
6.64,0.093546271,0.8
6.66,0.233428545,0.7
6.68,-0.046336003,0.7
6.7,0.093546271,0.6
6.72,0.093546271,0.4
6.74,0.093546271,0.3
6.76,0.164361672,0.1
6.78,0.024479398,0.1
6.8,0.093546271,-0.1
6.82,0.024479398,-0.2
6.84,-0.186218278,-0.2
6.86,-0.11627714,-0.2
6.88,-0.186218278,-0.1
6.9,-0.11627714,-0.1
6.92,-0.046336003,-0.1
6.94,-0.11627714,-0.1
6.96,-0.046336003,-0.1
6.98,-0.11627714,-0.1
7,0.024479398,-0.1
7.02,-0.186218278,-0.1
7.04,-0.11627714,-0.2
7.06,-0.186218278,-0.1
7.08,-0.186218278,-0.1
7.1,-0.186218278,-0.2
7.12,-0.11627714,-0.1
7.14,-0.046336003,-0.1
7.16,-0.046336003,-0.1
7.18,-0.046336003,-0.1
7.2,-0.11627714,-0.1
7.22,-0.046336003,-0.1
7.24,0.024479398,-0.1
7.26,0.024479398,-0.1
7.28,-0.11627714,-0.1
7.3,0.093546271,-0.1
7.32,0.024479398,0
7.34,-0.11627714,0
7.36,0.024479398,0
7.38,-0.046336003,0
7.4,0.164361672,0.1
7.42,0.093546271,0.2
7.44,0.164361672,0.2
7.46,0.093546271,0.2
7.48,0.093546271,0.2
7.5,0.093546271,0.2
7.52,0.164361672,0.3
7.54,0.093546271,0.3
7.56,0.093546271,0.4
7.58,0.093546271,0.5
7.6,0.024479398,0.5
7.62,-0.186218278,0.6
7.64,-0.046336003,0.7
7.66,-0.046336003,0.8
7.68,0.024479398,0.8
7.7,-0.046336003,0.9
7.72,-0.186218278,1.1
7.74,-0.256159415,1.2
7.76,-0.046336003,1.3
7.78,-0.11627714,1.5
7.8,-0.046336003,1.5
7.82,-0.046336003,1.5
7.84,-0.046336003,1.5
7.86,-0.11627714,1.6
7.88,-0.11627714,1.8
7.9,-0.11627714,1.9
7.92,-0.256159415,2
7.94,-0.046336003,2.1
7.96,-0.046336003,2.1
7.98,-0.186218278,2.2
8,-0.186218278,2.2
8.02,-0.186218278,2.2
8.04,-0.256159415,2.2
8.06,-0.11627714,2.2
8.08,-0.186218278,2.2
8.1,-0.046336003,2.2
8.12,-0.11627714,2.1
8.14,-0.11627714,2.1
8.16,-0.186218278,2.2
8.18,-0.186218278,2.2
8.2,-0.046336003,2.2
8.22,-0.186218278,2.2
8.24,-0.186218278,2.2
8.26,-0.256159415,2.2
8.28,-0.11627714,2.2
8.3,-0.256159415,2.2
8.32,-0.186218278,2.1
8.34,-0.256159415,2.1
8.36,-0.186218278,2.2
8.38,-0.11627714,2.2
8.4,-0.186218278,2.1
8.42,-0.186218278,2.2
8.44,-0.186218278,2.2
8.46,-0.11627714,2.2
8.48,-0.186218278,2.2
8.5,-0.11627714,2.2
8.52,-0.256159415,2.2
8.54,-0.046336003,2.2
8.56,-0.186218278,2.1
8.57999999999999,-0.11627714,2.1
8.59999999999999,-0.046336003,2.1
8.61999999999999,-0.046336003,2.1
8.63999999999999,0.024479398,2
8.65999999999999,-0.11627714,2
8.67999999999999,-0.046336003,1.9
8.69999999999999,-0.11627714,1.9
8.71999999999999,-0.046336003,1.8
8.73999999999999,-0.046336003,1.7
8.75999999999999,-0.11627714,1.7
8.77999999999999,-0.186218278,1.7
8.79999999999999,-0.11627714,1.6
8.81999999999999,-0.046336003,1.7
8.83999999999999,-0.046336003,1.7
8.85999999999999,-0.186218278,1.7
8.87999999999999,-0.256159415,1.7
8.89999999999999,-0.11627714,1.7
8.91999999999999,-0.256159415,1.7
8.93999999999999,-0.256159415,1.7
8.95999999999999,-0.046336003,1.6
8.97999999999999,0.024479398,1.6
8.99999999999999,-0.046336003,1.6
9.01999999999999,-0.046336003,1.7
9.03999999999998,-0.186218278,1.7
9.05999999999998,-0.11627714,1.7
9.07999999999998,-0.186218278,1.7
9.09999999999998,0.024479398,1.6
9.11999999999998,-0.11627714,1.6
9.13999999999998,-0.11627714,1.6
9.15999999999998,-0.046336003,1.6
9.17999999999998,-0.186218278,1.7
9.19999999999998,-0.046336003,1.7
9.21999999999998,0.024479398,1.7
9.23999999999998,0.024479398,1.8
9.25999999999998,-0.046336003,1.8
9.27999999999998,-0.11627714,1.8
9.29999999999998,-0.11627714,1.8
9.31999999999998,-0.046336003,1.9
9.33999999999998,-0.256159415,1.9
9.35999999999998,-0.046336003,1.8
9.37999999999998,-0.11627714,1.9
9.39999999999998,-0.11627714,1.9
9.41999999999998,-0.256159415,1.9
9.43999999999998,0.024479398,1.9
9.45999999999998,-0.11627714,1.9
9.47999999999998,-0.11627714,1.9
9.49999999999997,-0.11627714,1.9
9.51999999999997,-0.186218278,1.9
9.53999999999997,-0.186218278,1.9
9.55999999999997,-0.11627714,1.9
9.57999999999997,-0.11627714,1.9
9.59999999999997,-0.465982826,1.9
9.61999999999997,-0.396041689,1.9
9.63999999999997,-0.11627714,1.9
9.65999999999997,-0.11627714,1.8
9.67999999999997,-0.256159415,1.8
9.69999999999997,-0.11627714,1.8
9.71999999999997,-0.046336003,1.8
9.73999999999997,0.024479398,1.8
9.75999999999997,-0.11627714,1.7
9.77999999999997,-0.11627714,1.6
9.79999999999997,0.093546271,1.6
9.81999999999997,-0.186218278,1.6
9.83999999999997,0.024479398,1.5
9.85999999999997,-0.11627714,1.4
9.87999999999997,-0.11627714,1.4
9.89999999999997,-0.046336003,1.4
9.91999999999997,-0.046336003,1.4
9.93999999999997,-0.046336003,1.4
9.95999999999997,-0.046336003,1.4
9.97999999999996,-0.186218278,1.3
9.99999999999996,-0.11627714,1.3
10.02,-0.046336003,1.4
10.04,0.024479398,1.4
10.06,0.024479398,1.4
10.08,-0.046336003,1.4
10.1,-0.186218278,-1.5
10.12,-0.326100552,-1.5
10.14,-0.11627714,-1.4
10.16,-0.11627714,-1.4
10.18,0.024479398,-1.3
10.2,-0.256159415,-1.3
10.22,0.024479398,-1.3
10.24,0.164361672,-1.3
10.26,-0.046336003,-1.2
10.28,-0.11627714,-1.3
10.3,-0.046336003,-1.3
10.32,0.164361672,-1.3
10.34,0.093546271,-1.2
10.36,0.024479398,-1.2
10.38,-0.046336003,-1.2
10.4,0.164361672,-1.3
10.42,0.024479398,-1.3
10.4399999999999,-0.11627714,-1.2
10.46,0.093546271,-1.2
10.48,-0.11627714,-1.2
10.5,0.024479398,-1.2
10.5199999999999,0.164361672,-1.2
10.5399999999999,-0.046336003,-1.1
10.56,0.093546271,-1.1
10.58,-0.186218278,-1.1
10.5999999999999,-0.186218278,-1.1
10.62,-0.326100552,-1.1
10.64,-0.326100552,-1.1
10.66,-0.046336003,-1.1
10.6799999999999,0.024479398,-1.1
10.6999999999999,-0.326100552,-1.1
10.72,-0.11627714,-1.1
10.74,-0.046336003,-1.1
10.76,-0.186218278,-1.1
10.7799999999999,-0.256159415,-1.1
10.8,-0.186218278,-1.1
10.82,-0.046336003,-1
10.84,0.024479398,-1
10.8599999999999,-0.11627714,-1
10.8799999999999,0.024479398,-1
10.9,0.164361672,-1
10.9199999999999,-0.11627714,-1
10.9399999999999,0.164361672,-1
10.9599999999999,0.164361672,-1
10.9799999999999,-0.046336003,-1
10.9999999999999,-0.11627714,-1
11.0199999999999,0.024479398,-1
11.0399999999999,-0.11627714,-1
11.0599999999999,-0.11627714,-1
11.0799999999999,0.093546271,-1
11.0999999999999,-0.186218278,-1
11.1199999999999,-0.046336003,-1
11.1399999999999,-0.186218278,-1
11.1599999999999,-0.046336003,-1
11.1799999999999,0.024479398,-1
11.1999999999999,-0.186218278,-1
11.2199999999999,0.093546271,-1.1
11.2399999999999,0.093546271,-1.1
11.2599999999999,0.024479398,-1.2
11.2799999999999,0.024479398,-1.2
11.2999999999999,-0.046336003,-1.4
11.3199999999999,0.093546271,-1.4
11.3399999999999,0.653949632,-1.5
11.3599999999999,0.024479398,-1.6
11.3799999999999,0.024479398,-1.8
11.3999999999999,0.164361672,-1.8
11.4199999999999,0.164361672,-2
11.4399999999999,0.233428545,-2.1
11.4599999999999,-0.046336003,-2.1
11.4799999999999,0.164361672,-2.1
11.4999999999999,0.093546271,-2.1
11.5199999999999,0.233428545,-2.1
11.5399999999999,0.164361672,-2.1
11.5599999999999,-0.046336003,-2.1
11.5799999999999,-0.11627714,-2.1
11.5999999999999,0.164361672,-2.2
11.6199999999999,0.444126221,-2.2
11.6399999999999,0.164361672,-2.1
11.6599999999999,0.024479398,-2.1
11.6799999999999,-0.11627714,-2.1
11.6999999999999,0.164361672,-2.1
11.7199999999999,0.093546271,-2.1
11.7399999999999,-0.046336003,-2.1
11.7599999999999,0.164361672,-2.1
11.7799999999999,0.093546271,-2.1
11.7999999999999,0.374185083,-2.1
11.8199999999999,0.164361672,-2.1
11.8399999999999,0.024479398,-2.2
11.8599999999999,0.304243946,-2.1
11.8799999999999,0.374185083,-2.1
11.8999999999999,0.304243946,-2.1
11.9199999999999,0.233428545,-2.1
11.9399999999999,0.233428545,-2
11.9599999999999,-0.11627714,1
11.9799999999999,-0.186218278,1
11.9999999999999,-0.186218278,0.9
12.0199999999999,-0.11627714,0.9
12.0399999999999,-0.186218278,0.9
12.0599999999999,-0.11627714,0.9
12.0799999999999,-0.326100552,0.9
12.0999999999999,-0.186218278,0.9
12.1199999999999,-0.186218278,0.9
12.1399999999999,-0.11627714,0.9
12.1599999999999,-0.256159415,0.9
12.1799999999999,-0.256159415,0.9
12.1999999999999,-0.11627714,0.9
12.2199999999999,0.024479398,0.9
12.2399999999999,-0.186218278,0.9
12.2599999999999,0.374185083,0.9
12.2799999999999,-0.046336003,0.9
12.2999999999999,0.024479398,0.9
12.3199999999999,-0.046336003,0.9
12.3399999999999,-0.046336003,0.9
12.3599999999999,0.024479398,0.9
12.3799999999999,-0.046336003,0.9
12.3999999999999,0.164361672,0.9
12.4199999999999,0.093546271,0.9
12.4399999999999,0.024479398,0.9
12.4599999999999,0.024479398,0.9
12.4799999999999,0.093546271,0.8
12.4999999999999,0.233428545,0.7
12.5199999999999,-0.046336003,0.7
12.5399999999999,0.093546271,0.6
12.5599999999999,0.093546271,0.4
